SetID,Job Code,Eff Date,Sal End Date,Salary SetID,Sal Plan,Grade,Step,Biweekly High Rate,Biweekly Low Rate,Union Code,Extended Step,Pay Type
COMMN,8310,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,8310F,1,3667.00,4678.00,498,0,B
COMMN,8312,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,8312F,1,4205.00,5364.00,498,0,B
COMMN,8314,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,8314F,1,4636.00,5914.00,498,0,B
COMMN,8315,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,00000,1,5368.00,6851.00,354,0,B
COMMN,8316,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,05975,1,1686.00,2048.00,790,0,B
COMMN,8318,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06620,1,2309.00,2806.00,790,0,B
COMMN,8320,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06240,1,1918.00,2332.00,790,0,B
COMMN,8321,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06390,1,2063.00,2507.00,790,0,B
COMMN,8322,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06735,1,2442.00,2969.00,856,0,B
COMMN,8324,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06835,1,2564.00,3117.00,856,0,B
COMMN,8326,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06860,1,2596.00,3155.00,351,0,B
COMMN,8330,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,00000,1,3282.00,4188.00,351,0,B
COMMN,8336,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07735,1,3978.00,4835.00,351,0,B
COMMN,8340,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06940,1,2700.00,3282.00,351,0,B
COMMN,8344,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,00000,1,3520.00,4492.00,351,0,B
COMMN,8348,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,00000,1,5368.00,6851.00,354,0,B
COMMN,8350,2009-07-01T00:00:00,2009-09-04T00:00:00,COMMN,SFM,8350F,1,7696.96,7696.96,556,0,B
COMMN,8413,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,00000,1,4717.00,6019.00,351,0,B
COMMN,8414,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07350,1,3295.00,4006.00,965,0,B
COMMN,8415,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07545,1,3626.00,4407.00,965,0,B
COMMN,8416,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,00000,1,3282.00,4188.00,351,0,B
COMMN,8418,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,00000,1,5368.00,6851.00,351,0,B
COMMN,8420,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06820,1,2545.00,3093.00,790,0,B
COMMN,8434,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07350,1,3295.00,4006.00,965,0,B
COMMN,8435,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,00000,1,3282.00,4188.00,351,0,B
COMMN,8436,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,00000,1,5051.00,6446.00,351,0,B
COMMN,8438,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,00000,1,3799.00,4848.00,351,0,B
COMMN,8444,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,8444F,1,2041.00,3308.00,651,0,B
COMMN,8446,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06230,1,1909.00,2319.00,1,0,B
COMMN,8452,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06930,1,2685.00,3263.00,790,0,B
COMMN,8470,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,00000,1,4075.00,5200.00,351,0,B
COMMN,8482,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06070,1,1765.00,2145.00,790,0,B
COMMN,8484,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06450,1,2124.00,2582.00,790,0,B
SFMTA,9102,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06060,1,1756.00,2135.00,790,0,B
SFMTA,9104,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06250,1,1927.00,2342.00,790,0,B
SFMTA,9110,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06060,1,1756.00,2135.00,790,0,B
SFMTA,9116,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06360,1,2033.00,2472.00,790,0,B
SFMTA,9117,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06830,1,2557.00,3108.00,790,0,B
SFMTA,9118,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06910,1,2660.00,3234.00,790,0,B
SFMTA,9122,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06240,1,1918.00,2332.00,790,0,B
SFMTA,9124,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06330,1,2004.00,2435.00,790,0,B
SFMTA,9126,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06260,1,1936.00,2354.00,790,0,B
SFMTA,9128,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06410,1,2084.00,2533.00,790,0,B
SFMTA,9131,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06620,1,2309.00,2806.00,790,0,B
SFMTA,9132,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06360,1,2033.00,2472.00,252,0,B
SFMTA,9135,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06435,1,2110.00,2564.00,200,0,B
SFMTA,9139,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07005,1,2786.00,3387.00,200,0,B
SFMTA,9140,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07345,1,3289.00,3998.00,200,0,B
SFMTA,9141,2009-07-01T00:00:00,2009-06-30T00:00:00,COMMN,SFM,07595,1,3714.00,4514.00,200,0,B
SFMTA,9142,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07660,1,3836.00,4662.00,351,0,B
SFMTA,9143,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,08010,1,4551.00,5532.00,351,0,B
SFMTA,9145,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,9145F,1,3815.00,3815.00,6,0,B
SFMTA,9146,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07170,1,3018.00,3668.00,351,0,B
SFMTA,9147,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,9147F,1,4286.00,4286.00,6,0,B
SFMTA,9149,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,9149F,1,4789.00,4789.00,6,0,B
SFMTA,9150,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07305,1,3226.00,3921.00,200,0,B
COMMN,9155,2009-07-01T00:00:00,2010-05-14T00:00:00,COMMN,SFM,07220,1,3093.00,3760.00,200,0,B
COMMN,9156,2009-07-01T00:00:00,2010-05-14T00:00:00,COMMN,SFM,07420,1,3410.00,4145.00,200,0,B
COMMN,9157,2009-07-01T00:00:00,2010-05-14T00:00:00,COMMN,SFM,07420,1,3410.00,4145.00,200,0,B
SFMTA,9160,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07435,1,3436.00,4176.00,200,0,B
COMMN,9161,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07930,1,4372.00,5315.00,351,0,B
SFMTA,9163,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,9163F,1,1406.92,2233.20,253,0,H
SFMTA,9172,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,00000,1,3282.00,4188.00,351,0,B
SFMTA,9174,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,00000,1,3799.00,4848.00,351,0,B
SFMTA,9175,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,00000,1,3041.00,3881.00,351,0,B
SFMTA,9177,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,00000,1,3520.00,4492.00,351,0,B
SFMTA,9179,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,00000,1,4075.00,5200.00,351,0,B
SFMTA,9180,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,00000,1,4397.00,5612.00,351,0,B
SFMTA,9181,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,00000,1,4717.00,6019.00,351,0,B
SFMTA,9182,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,00000,1,5051.00,6446.00,351,0,B
SFMTA,9183,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,00000,1,5368.00,6851.00,351,0,B
SFMTA,9184,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,9184F,1,5400.00,6908.00,351,0,B
SFMTA,9185,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,9185F,1,6772.00,8647.00,351,0,B
SFMTA,9186,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,9186F,1,12120.77,12120.77,302,0,B
SFMTA,9187,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,00000,1,5722.00,7303.00,351,0,B
SFMTA,9189,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07860,1,4229.00,5140.00,351,0,B
SFMTA,9190,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,00000,1,4075.00,5200.00,351,0,B
SFMTA,9195,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07720,1,3948.00,4799.00,21,0,B
SFMTA,9196,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,08020,1,4570.00,5556.00,21,0,B
SFMTA,9197,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,9197F,1,5392.00,5392.00,21,2,B
COMMN,9202,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06585,1,2269.00,2758.00,790,0,B
COMMN,9203,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06785,1,2502.00,3041.00,790,0,B
COMMN,9204,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06935,1,2693.00,3273.00,790,0,B
COMMN,9206,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07205,1,3072.00,3734.00,21,0,B
COMMN,9209,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06145,1,1831.00,2226.00,790,0,B
COMMN,9212,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06695,1,2395.00,2910.00,790,0,B
COMMN,9220,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07025,1,2813.00,3418.00,790,0,B
COMMN,9222,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07340,1,3282.00,3989.00,351,0,B
COMMN,9230,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06500,1,2178.00,2647.00,790,0,B
COMMN,9232,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,9232F,1,4550.00,4550.00,39,0,B
COMMN,9240,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07280,5,3189.00,3873.00,6,0,B
COMMN,9241,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07450,5,3460.00,4206.00,6,0,B
COMMN,9242,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07550,5,3633.00,4416.00,6,0,B
COMMN,9247,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07040,1,2835.00,3446.00,351,0,B
COMMN,9248,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07170,1,3018.00,3668.00,351,0,B
COMMN,9251,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07595,1,3714.00,4514.00,351,0,B
COMMN,9254,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07070,1,2874.00,3493.00,351,0,B
COMMN,9255,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07560,1,3653.00,4440.00,21,0,B
COMMN,9256,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07860,1,4229.00,5140.00,351,0,B
COMMN,9258,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07860,1,4229.00,5140.00,351,0,B
COMMN,9276,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07060,1,2862.00,3479.00,22,0,B
COMMN,9330,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06970,5,2737.00,3327.00,34,0,B
COMMN,9331,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07045,5,2841.00,3453.00,3,0,B
COMMN,9332,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07200,5,3064.00,3724.00,34,0,B
COMMN,9342,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07030,5,2819.00,3426.00,377,0,B
COMMN,9343,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06700,5,2401.00,2918.00,40,0,B
COMMN,9344,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06990,5,2764.00,3359.00,40,0,B
COMMN,9345,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07390,5,3359.00,4082.00,104,0,B
COMMN,9346,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07120,5,2946.00,3581.00,377,0,B
COMMN,9350,2009-07-01T00:00:00,2009-12-25T00:00:00,COMMN,SFM,9350F,1,2948.00,3871.00,911,0,B
COMMN,9354,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07380,5,3346.00,4067.00,6,0,B
COMMN,9355,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06420,1,2094.00,2545.00,790,0,B
COMMN,9356,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,06705,1,2407.00,2926.00,790,0,B
COMMN,9358,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07480,5,3513.00,4270.00,6,0,B
COMMN,9360,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07355,5,3304.00,4017.00,3,0,B
COMMN,9364,2009-07-01T00:00:00,2010-06-30T00:00:00,COMMN,SFM,07790,1,4082.00,4961.00,351,0,B
